X1,X2,X3
0.56,0.48,0.6
0.46,0.4,0.45
0.58,0.62,0.69
0.45,0.57,0.52
0.35,0.69,0.46
0.72,0.44,0.75
0.61,0.17,0.53
0.88,0.31,0.88
0.18,0.48,0.2
0.64,0.56,0.72
0.95,0.4,1
0.39,0.69,0.5
0.52,0.34,0.51
0.64,0.56,0.72
0.87,0.36,0.88
0.7,0.22,0.65
0.79,0.2,0.75
0.56,0.51,0.61
0.63,0.78,0.81
0.37,0.4,0.38
0.58,0.68,0.69
0.62,0.43,0.63
0.3,0.49,0.33
0.53,0.38,0.55
0.6,0.75,0.76
0.49,0.5,0.52
0.26,0.6,0.31
0.51,0.65,0.6
0.48,0.45,0.48
0.47,0.6,0.54
0.5,0.56,0.56
0.56,0.52,0.62
0.88,0.19,0.83
0.52,0.27,0.48
0.23,0.59,0.29
0.71,0.43,0.74
0.6,0.22,0.55
0.49,0.4,0.49
0.6,0.32,0.58
0.5,0.51,0.56
0.54,0.51,0.59
0.38,0.43,0.39
0.6,0.43,0.63
0.43,0.53,0.48
0.4,0.42,0.42
0.82,0,0.69
0.73,0.26,0.68
0.42,0.29,0.36
0.78,0.26,0.74
0.55,0.47,0.59
0.61,0.41,0.61
0.34,0.86,0.53
0.34,0.57,0.4
0.7,0.38,0.71
0.71,0.54,0.79
0.68,0.61,0.77
0.46,0.38,0.45
0.65,0.33,0.63
0.29,0.51,0.32
0.64,0.37,0.63
0.48,0.35,0.46
0.84,0.64,0.97
0.77,0.27,0.74
0.48,0.84,0.64
0.53,0.33,0.5
0.62,0.09,0.49
0.03,0.74,0.14
0.38,0.41,0.38
0.49,0.23,0.4
0.33,0.75,0.47
0.56,0.59,0.65
0.59,0.5,0.65
0.58,0.41,0.58
0.69,0.55,0.75
0.57,0.56,0.64
0.59,0.53,0.66
0.46,0.43,0.49
0.68,0.57,0.76
0.5,0.49,0.54
0.42,0.65,0.52
0.66,0.64,0.75
0.66,0.41,0.68
0.36,0.35,0.32
0.78,0.45,0.83
0.61,0.4,0.62
0.33,0.84,0.49
0.32,0.55,0.37
0.73,0.22,0.68
0.48,0.56,0.54
0.18,0.33,0.13
0.38,0.39,0.38
0.5,0.5,0.53
0.58,0.69,0.71
0.48,0.72,0.6
0.54,0.72,0.67
0.59,0.61,0.67
0.64,0.25,0.61
0.31,0.48,0.32
0.43,0.71,0.54
0.66,0.54,0.72
0.71,0.4,0.71
0.68,0.29,0.65
0.66,0.18,0.59
0.74,0.47,0.79
0.41,0.46,0.43
0.1,0.52,0.11
0.6,0.49,0.64
0.37,0.08,0.25
0.7,0.58,0.79
0.86,0.58,0.95
0.34,0.48,0.37
0.46,0.28,0.4
0.43,0.35,0.4
0.54,0.3,0.51
0.79,0.22,0.73
0.6,0.58,0.68
0.78,0.1,0.7
0.46,0.81,0.62
0.7,0.16,0.63
0.67,0.54,0.73
0.6,0.48,0.65
0.9,0.24,0.87
0.29,0.74,0.4
0.66,0.68,0.81
0.62,0.42,0.65
0.82,0.62,0.93
0.82,0.42,0.83
0.57,0.37,0.55
0.66,0.56,0.74
0.58,0.58,0.67
0.6,0.43,0.64
0.37,0.9,0.55
0.15,0.68,0.24
0.44,0.53,0.48
0.67,0.45,0.72
0.52,0.59,0.61
0.4,0.58,0.46
0.43,0.25,0.36
0.36,0.47,0.36
0.94,0.2,0.9
0.33,0.76,0.47
0.64,0.33,0.64
0.42,0.22,0.35
0.48,0.44,0.51
0.73,0.33,0.72
0.2,0.59,0.26
0.63,0.13,0.52
0.62,0.55,0.69
0.85,0.16,0.8
0.4,0.36,0.4
0.45,0.51,0.49
0.57,0.51,0.63
0.3,0.58,0.36
0.51,0.48,0.55
0.69,0.64,0.82
0.37,0.33,0.36
0.68,0.61,0.79
0.44,0.37,0.42
0.57,0.7,0.7
0.68,0.67,0.79
0.46,0.35,0.45
0.74,0.24,0.69
0.69,0.09,0.58
0.35,0.6,0.44
0.63,0.42,0.65
0.74,0.32,0.72
0.41,0.73,0.55
0.47,0.71,0.59
0.51,0.24,0.46
0.43,0.34,0.39
0.71,0.41,0.72
0.74,0.48,0.8
0.68,0.56,0.75
0.34,0.46,0.34
0.52,0.46,0.54
0.6,0.29,0.57
0.59,0.33,0.59
0.71,0.41,0.75
0.45,0.57,0.5
0.62,0.35,0.6
0.33,0.59,0.4
0.38,0.8,0.55
0.37,0.57,0.43
0.52,0.45,0.54
0.61,0.3,0.57
0.53,0.21,0.45
0.51,0.55,0.58
0.36,0.83,0.52
0.63,0.48,0.69
0.31,0.58,0.36
0.67,0.13,0.58
0.57,0.49,0.61
0.5,0.46,0.53
0.44,0.79,0.58
0.61,0.23,0.56
0.59,0.38,0.59
0.63,0.52,0.69
0.25,0.47,0.25
0.47,0.49,0.51
0.62,0.44,0.66
0.11,0.48,0.13
0.85,0.26,0.82
0.42,0.54,0.48
0.45,0.67,0.57
0.5,0.41,0.5
0.53,0.56,0.59
0.48,0.44,0.5
0.29,0.64,0.36
0.61,0.5,0.67
0.94,0.18,0.89
0.65,0.61,0.76
0.59,0.4,0.58
0.42,0.35,0.41
0.61,0.26,0.56
0.65,0.3,0.63
0.26,0.89,0.43
0.42,0.43,0.43
0.71,0.3,0.7
0.73,0.39,0.76
0.63,0.35,0.62
0.13,0.58,0.19
0.48,0.79,0.63
0.58,0.55,0.64
0.45,0.62,0.53
0.55,0.29,0.5
0.21,0.52,0.23
0.22,0.67,0.32
0.76,0.31,0.76
0.6,0.51,0.67
0.67,0.43,0.7
0.42,0.59,0.51
0.43,0.59,0.49
0.48,0.6,0.57
0.27,0.69,0.37
0.54,0.42,0.56
0.52,0.6,0.59
0.47,0.16,0.39
0.61,0.48,0.64
0.41,0.63,0.5
0.66,0.52,0.72
0.58,0.25,0.53
0.58,0.61,0.66
0.4,0.69,0.5
0.6,0.24,0.54
0.53,0.73,0.66
0.51,0.26,0.45
0.75,0.4,0.75
0.29,0.39,0.26
0.43,0.48,0.45
0.87,0.45,0.92
0.4,0.55,0.46
0.75,0.48,0.82
0.71,0.41,0.73
0.23,0.76,0.36
0.42,0.8,0.58
0.43,0.44,0.43
0.64,0.13,0.55
0.69,0.34,0.69
0.58,0.55,0.65
0.37,0.42,0.38
0.84,0.3,0.82
0.64,0.36,0.64
0.69,0.71,0.82
0.61,0.57,0.71
0.49,0.6,0.57
0.34,0.57,0.42
0.55,0.63,0.66
0.7,0.49,0.74
0.63,0.45,0.66
0.72,0.43,0.74
0.25,0.54,0.28
0.49,0.59,0.58
0.74,0.52,0.79
0.31,0.68,0.39
0.32,0.62,0.4
0.67,0.27,0.61
0.32,0.5,0.37
0.67,0.24,0.62
0.56,0.36,0.57
0.42,0.59,0.49
0.53,0.41,0.52
0.29,0.46,0.32
0.41,0.34,0.39
0.43,0.43,0.44
0.33,0.68,0.42
0.3,0.53,0.33
0.48,0.52,0.51
0.53,0.36,0.5
0.61,0.52,0.67
0.91,0.44,0.96
0.67,0.3,0.64
0.24,0.73,0.34
0.56,0.42,0.59
0.57,0.42,0.57
0.41,0.51,0.45
0.39,0.39,0.39
0.48,0.24,0.41
0.65,0.29,0.62
0.71,0.34,0.7
0.3,0.8,0.46
0.43,0.6,0.5
0.69,0.23,0.64
0.34,0.77,0.48
0.75,0.27,0.72
0.41,0.47,0.42
0.49,0.53,0.55
0.74,0.5,0.82
0.48,0.29,0.45
0.46,0.52,0.5
0.58,0.52,0.62
0.19,0.76,0.31
0.76,0.23,0.7
0.4,0.54,0.46
0.38,0.41,0.39
0.57,0.47,0.61
0.52,0.32,0.5
0.56,0.61,0.66
0.42,0.44,0.44
0.34,0.6,0.4
0.5,0.27,0.45
0.6,0.75,0.75
0.6,0.16,0.52
0.25,0.72,0.36
0.52,0.59,0.61
0.7,0.63,0.82
0.44,0.66,0.53
0.59,0.39,0.6
0.48,0.54,0.53
0.31,0.31,0.28
0.33,0.29,0.28
0.65,0.67,0.76
0.53,0.58,0.6
0.41,0.6,0.48
0.59,0.59,0.65
0.27,0.72,0.37
0.23,0.34,0.18
0.63,0.31,0.61
0.63,0.23,0.58
0.74,0.27,0.7
0.64,0.31,0.62
0.16,0.76,0.3
0.37,0.52,0.4
0.23,0.69,0.33
0.67,0.71,0.83
0.54,0.53,0.58
0.7,0.39,0.72
0.62,0.23,0.57
0.9,0.51,0.96
0.69,0.13,0.6
0.67,0.3,0.65
0.39,0.5,0.41
0.1,0.65,0.16
0.31,0.56,0.35
0.68,0.53,0.74
0.78,0.26,0.75
0.34,0.64,0.42
0.37,0.48,0.41
0.27,0.37,0.24
0.47,0.4,0.47
0.49,0.63,0.58
0.49,0.24,0.44
0.68,0.28,0.65
0.4,0.41,0.38
0.3,0.42,0.3
0.49,0.08,0.37
0.56,0.57,0.64
0.47,0.16,0.39
0.6,0.44,0.63
0.62,0.22,0.57
0.75,0.42,0.76
0.48,0.58,0.57
0.43,0.55,0.48
0.22,0.77,0.37
0.9,0.43,0.93
0.19,0.66,0.27
0.64,0.34,0.64
0.56,0.43,0.58
0.51,0.3,0.47
0.23,0.62,0.29
0.85,0.17,0.79
0.68,0.27,0.65
0.59,0.43,0.6
0.56,0.48,0.62
0.37,0.33,0.33
0.29,0.64,0.37
0.42,0.39,0.43
0.57,0.39,0.57
0.48,0.62,0.58
0.66,0.56,0.73
0.35,0.62,0.44
0.33,0.52,0.35
0.8,0.35,0.81
0.38,0.63,0.47
0.51,0.46,0.55
0.93,0.42,0.99
0.56,0.28,0.51
0.35,0.57,0.4
0.39,0.56,0.46
0.52,0.63,0.61
0.99,0.35,1
0.72,0.61,0.81
0.18,0.5,0.2
0.4,0.74,0.54
0.15,0.78,0.27
0.45,0.75,0.57
0.48,0.25,0.41
0.73,0.52,0.79
0.78,0.5,0.84
0.7,0.51,0.75
0.72,0.65,0.82
0.55,0.58,0.62
0.52,0.52,0.58
0.28,0.74,0.4
0.4,0.49,0.43
0.66,0.35,0.66
0.83,0.17,0.76
0.72,0.63,0.82
0.45,0.52,0.49
0.73,0.71,0.87
0.5,0.64,0.61
0.39,0.5,0.43
0.51,0.27,0.47
0.48,0.5,0.54
0.41,0.56,0.45
0.48,0.51,0.53
0.26,0.48,0.28
0.31,0.75,0.42
0.65,0.08,0.54
0.72,0.28,0.69
0.61,0.38,0.61
0.77,0.27,0.72
0.29,0.52,0.31
0.18,0.78,0.32
0.49,0.28,0.45
0.71,0.46,0.74
0.34,0.76,0.48
0.35,0.76,0.49
0.91,0.54,0.99
0.35,0.85,0.51
0.65,0.43,0.66
0.44,0.68,0.55
0.51,0.44,0.51
0.32,0.6,0.39
0.38,0.56,0.45
0.57,0.48,0.6
0.71,0.65,0.82
0.54,0.87,0.73
0.3,0.61,0.38
0.42,0.52,0.48
0.52,0.45,0.54
0.42,0.32,0.39
0.64,0.23,0.58
0.62,0.61,0.7
0.25,0.29,0.19
0.53,0.38,0.53
0.62,0.5,0.69
0.28,0.55,0.31
0.58,0.39,0.59
0.24,0.38,0.21
0.42,0.39,0.4
0.7,0.28,0.66
0.18,0.74,0.3
0.55,0.22,0.47
0.82,0.51,0.9
0.58,0.41,0.58
0.45,0.57,0.5
0.5,0.67,0.6
0.51,0.26,0.47
0.59,0.53,0.66
0.7,0.3,0.66
0.48,0.5,0.51
0.72,0.28,0.71
0.53,0.36,0.54
0.54,0.35,0.54
0.68,0.35,0.69
0.67,0.72,0.79
0.46,0.67,0.58
0.54,0.66,0.64
0.5,0.48,0.52
0.41,0.22,0.34
0.65,0.4,0.68
0.37,0.34,0.33
0.48,0.53,0.54
0.36,0.52,0.41
0.79,0.68,0.92
0.64,0.64,0.75
0.66,0.46,0.7
0.57,0.46,0.6
0.53,0.46,0.55
0.62,0.41,0.64
0.51,0.58,0.6
0.73,0.4,0.75
0.71,0.14,0.62
0.19,0.36,0.16
0.63,0.73,0.76
0.23,0.75,0.34
0.37,0.34,0.34
0.54,0.8,0.71
0.41,0.45,0.45
0.46,0.74,0.61
0.39,0.51,0.44
0.5,0.54,0.56
0.48,0.67,0.59
0.33,0.84,0.49
0.32,0.43,0.33
0.34,0.43,0.36
0.43,0.68,0.53
0.67,0.34,0.65
0.35,0.38,0.32
0.58,0.43,0.61
0.39,0.44,0.4
0.33,0.47,0.36
0.24,0.16,0.13
0.65,0.5,0.7
0.07,0.81,0.2
0.47,0.58,0.54
0.4,0.53,0.45
0.42,0.67,0.53
0.68,0.48,0.72
0.46,0.21,0.4
0.65,0.27,0.6
0.68,0.39,0.69
0.46,0.44,0.48
0.57,0.59,0.64
0.35,0.56,0.42
0.53,0.55,0.6
0.44,0.56,0.5
0.62,0.49,0.66
0.33,0.39,0.3
0.31,0.48,0.34
0.55,0.46,0.56
0.63,0.56,0.71
0.37,0.72,0.5
0.39,0.61,0.46
0.87,0.38,0.91
0.74,0.04,0.64
0.57,0.63,0.69
0.71,0.56,0.8
0.42,0.55,0.47
0.67,0.49,0.74
0.6,0.2,0.52
0.4,0.36,0.38
0.3,0.39,0.29
0.42,0.02,0.25
0.63,0.43,0.64
0.48,0.56,0.55
0.64,0.32,0.62
0.54,0.25,0.48
0.49,0.06,0.36
0.68,0.56,0.77
0.34,0.21,0.25
0.47,0.66,0.58
0.63,0.3,0.59
0.38,0.33,0.34
0.65,0.31,0.64
0.61,0.39,0.63
0.7,0.56,0.79
0.57,0.38,0.58
0.29,0.55,0.34
0.34,0.62,0.44
0.31,0.67,0.41
0.46,0.41,0.46
0.44,0.45,0.47
0.65,0.46,0.69
0.74,0.37,0.73
0.63,0.46,0.66
0.32,0.41,0.29
0.59,0.48,0.65
0.58,0.35,0.56
0.41,0.59,0.47
0.71,0.54,0.77
0.24,0.81,0.4
0.81,0.58,0.92
0.49,0.54,0.56
0.59,0.25,0.55
0.44,0.58,0.52
0.85,0.54,0.95
0.49,0.92,0.71
0.47,0.57,0.53
0.44,0.49,0.47
0.81,0.34,0.81
0.83,0.17,0.78
0.51,0.41,0.5
0.73,0.32,0.72
0.53,0.55,0.58
0.6,0.46,0.65
0.26,0.39,0.26
0.57,0.41,0.58
0.47,0.82,0.62
0.75,0.4,0.77
0.67,0.24,0.63
0.63,0.58,0.7
0.58,0.17,0.49
0.62,0.31,0.58
0.52,0.5,0.57
0.59,0.33,0.56
0.63,0.45,0.66
0.53,0.24,0.46
0.44,0.34,0.41
0.39,0.58,0.45
0.19,0.66,0.29
0.72,0.46,0.76
0.44,0.46,0.46
0.96,0.12,0.87
0.53,0.59,0.61
0,0.73,0.1
0.57,0.6,0.66
0.17,0.54,0.22
0.77,0.29,0.76
0.54,0.33,0.53
0.44,0.65,0.55
0.32,0.75,0.46
0.41,0.52,0.46
0.62,0.33,0.62
0.74,0.36,0.74
0.71,0.66,0.82
0.64,0.17,0.55
0.59,0.25,0.54
0.38,0.47,0.4
0.79,0.25,0.77
0.34,0.53,0.39
0.47,0.58,0.55
0.53,0.37,0.52
0.44,0.72,0.56
0.61,0.53,0.68
0.5,0.37,0.5
0.42,0.65,0.53
0.61,0.43,0.64
0.75,0.44,0.79
0.58,0.4,0.6
0.52,0.2,0.43
0.5,0.43,0.53
0.56,0.52,0.63
0.39,0.56,0.45
0.64,0.63,0.75
0.43,0.95,0.64
0.71,0.29,0.67
0.73,0.23,0.68
0.34,0.5,0.37
0.78,0.46,0.83
0.52,0.62,0.6
0.64,0.66,0.75
0.39,0.56,0.46
0.11,1,0.31
0.46,0.82,0.64
0.72,0.17,0.65
0.44,0.64,0.54
0.56,0.37,0.56
0.65,0.5,0.72
0.57,0.33,0.56
0.41,0.55,0.45
0.99,0.25,0.96
0.39,0.28,0.35
0.32,0.56,0.4
0.25,0.54,0.27
0.48,0.23,0.42
0.75,0.53,0.82
0.44,0.61,0.53
0.62,0.35,0.61
0.32,0.49,0.34
0.61,0.41,0.63
0.47,0.32,0.45
0.59,0.49,0.62
0.53,0.48,0.56
0.63,0.32,0.62
0.53,0.32,0.52
0.64,0.56,0.71
0.51,0.69,0.64
0.46,0.55,0.51
0.63,0.36,0.64
0.33,0.62,0.41
0.43,0.53,0.46
0.33,0.41,0.32
0.62,0.56,0.7
0.47,0.52,0.53
0.7,0.53,0.77
0.46,0.36,0.44
0.81,0.32,0.81
0.7,0.54,0.78
0.6,0.17,0.54
0.32,0.55,0.37
0.47,0.22,0.41
0.62,0.47,0.66
0.39,0.38,0.38
0.3,0.53,0.34
0.66,0.45,0.68
0.61,0.39,0.6
0.1,0.54,0.12
0.19,0.97,0.39
0.61,0.55,0.69
0.65,0.47,0.71
0.78,0.41,0.81
0.41,0.36,0.4
0.64,0.63,0.73
0.68,0.5,0.74
0.36,0.62,0.44
0.61,0.46,0.65
0.34,0.54,0.4
0.54,0.43,0.57
0.57,0.46,0.6
0.6,0.48,0.63
0.39,0.58,0.45
0.61,0.64,0.73
0.27,0.32,0.23
0.58,0.52,0.66
0.55,0.49,0.59
0.68,0.4,0.69
0.51,0.26,0.45
0.32,0.6,0.38
0.18,0.61,0.23
0.53,0.31,0.5
0.64,0.56,0.71
0.28,0.68,0.37
0.51,0.45,0.53
0.52,0.29,0.46
0.68,0.64,0.8
0.41,0.72,0.54
0.5,0.61,0.59
0.44,0.51,0.46
0.46,0.7,0.57
0.57,0.66,0.67
0.5,0.37,0.48
0.64,0.47,0.67
0.62,0.37,0.61
0.65,0.33,0.65
0.45,0.28,0.4
0.69,0.54,0.78
0.45,0.57,0.52
0.28,0.47,0.28
0.57,0.59,0.65
0.38,0.39,0.39
0.43,0.41,0.43
0.47,0.46,0.49
0.39,0.45,0.42
0.53,0.63,0.63
0.42,0.38,0.4
0.74,0.19,0.66
0.51,0.53,0.55
0.57,0.47,0.59
0.59,0.6,0.69
0.77,0.27,0.72
0.6,0.59,0.68
0.41,0.33,0.38
0.67,0.11,0.58
0.87,0.39,0.9
0.39,0.44,0.38
0.26,0.34,0.22
0.46,0.78,0.63
0.63,0.54,0.71
0.2,0.5,0.23
0.62,0.3,0.61
0.68,0.5,0.73
0.46,0.59,0.52
0.9,0.5,0.98
0.24,0.49,0.27
0.37,0.56,0.43
0.33,0.49,0.34
0.69,0.47,0.72
0.46,0.41,0.47
0.54,0.49,0.56
0.42,0.64,0.49
0.65,0.52,0.69
0.55,0.58,0.62
1,0.23,0.99
0.5,0.49,0.55
0.27,0.25,0.19
0.44,0.51,0.49
0.57,0.63,0.66
0.62,0.51,0.68
0.51,0.39,0.51
0.66,0.52,0.72
0.46,0.8,0.6
0.54,0.54,0.61
0.63,0.28,0.59
0.49,0.4,0.51
0.34,0.51,0.38
0.64,0.64,0.73
0.24,0.49,0.26
0.41,0.58,0.5
0.69,0.38,0.68
0.55,0.53,0.61
0.54,0.56,0.62
0.46,0.5,0.51
0.8,0.45,0.86
0.68,0.29,0.66
0.18,0.53,0.21
0.33,0.63,0.42
0.56,0.21,0.48
0.77,0.25,0.73
0.61,0.55,0.68
0.39,0.56,0.45
0.51,0.48,0.56
0.61,0.6,0.69
0.42,0.74,0.56
0.48,0.52,0.53
0.44,0.67,0.57
0.58,0.58,0.66
0.59,0.37,0.59
0.46,0.51,0.5
0.72,0.48,0.75
0.32,0.55,0.37
0.34,0.52,0.38
0.89,0.42,0.92
0.5,0.38,0.48
0.41,0.8,0.55
0.57,0.57,0.66
0.83,0.38,0.85
0.59,0.43,0.61
0.42,0.49,0.44
0.49,0.5,0.52
0.46,0.23,0.39
0.43,0.51,0.46
0.67,0.61,0.76
0.77,0.44,0.8
0.45,0.67,0.57
0.68,0.24,0.64
0.51,0.47,0.53
0.37,0.51,0.41
0.65,0.4,0.66
0.36,0.57,0.41
0.23,0.34,0.18
0.33,0.5,0.37
0.62,0.47,0.66
0.79,0.41,0.83
0.63,0.34,0.61
0.86,0.18,0.82
0.74,0.55,0.81
0.53,0.53,0.58
0.57,0.35,0.56
0.4,0.54,0.46
0.75,0.48,0.8
0.48,0.58,0.57
0.53,0.49,0.58
0.58,0.4,0.6
0.38,0.51,0.42
0.65,0.5,0.72
0.24,0.67,0.33
0.81,0.39,0.82
0.62,0.42,0.63
0.71,0.47,0.77
0.32,0.7,0.44
0.77,0.05,0.66
0.25,0.57,0.3
0.51,0.49,0.56
0.57,0.69,0.7
0.37,0.42,0.37
0.75,0.06,0.64
0.39,0.39,0.39
0.56,0.66,0.68
0.67,0.41,0.67
0.49,0.35,0.48
0.58,0.81,0.74
0.46,0.54,0.52
0.69,0.32,0.66
0.61,0.5,0.65
0.12,0.48,0.12
0.39,0.49,0.42
0.49,0.54,0.56
0.09,0.94,0.28
0.46,0.51,0.51
0.65,0.33,0.65
0.47,0.43,0.47
0.76,0.55,0.84
0.5,0.55,0.57
0.5,0.36,0.5
0.66,0.32,0.65
0.56,0.3,0.52
0.33,0.73,0.46
0.65,0.29,0.6
0.29,0.54,0.34
0.62,0.56,0.71
0.69,0.56,0.75
0.6,0.47,0.64
0.57,0.74,0.7
0.7,0.57,0.77
0.49,0.48,0.53
0.54,0.76,0.69
0.41,0.51,0.45
0.51,0.51,0.54
0.54,0.76,0.68
0.67,0.58,0.75
0.52,0.39,0.54
0.6,0.79,0.78
0.41,0.52,0.45
0.55,0.75,0.69
0.44,0.38,0.45
0.38,0.25,0.32
0.51,0.39,0.53
0.48,0.67,0.6
0.71,0.5,0.75
0.69,0.3,0.69
0.52,0.72,0.65
0.48,0.67,0.61
0.6,0.37,0.6
0.54,0.34,0.53
0.4,0.37,0.38
0.23,0.56,0.29
0.5,0.11,0.38
0.31,0.59,0.38
0.04,0.51,0.06
0.4,0.39,0.41
0.61,0.24,0.55
0.82,0.41,0.86
0.69,0.53,0.76
0.73,0.48,0.78
0.79,0.44,0.83
0.01,0.49,0
0.54,0.51,0.6
0.9,0.56,0.98
0.68,0.58,0.77
0.63,0.51,0.69
0.27,0.27,0.21
0.57,0.34,0.56
0.47,0.75,0.6
0.61,0.35,0.6
0.65,0.47,0.69
0.69,0.3,0.66
0.76,0.25,0.72
0.39,0.33,0.35
0.25,0.99,0.47
0.52,0.54,0.59
0.63,0.54,0.69
0.83,0.22,0.77
0.25,0.87,0.41
0.97,0.39,1
0.72,0.48,0.76
0.42,0.4,0.41
0.76,0.34,0.75
0.7,0.79,0.87
0.65,0.44,0.68
0.57,0.5,0.61
0.25,0.75,0.38
0.57,0.59,0.65
0.6,0.57,0.67
0.33,0.7,0.45
0.57,0.52,0.61
0.43,0.52,0.46
0.67,0.14,0.58
0.34,0.64,0.44
0.47,0.58,0.53
0.74,0.26,0.7
0.47,0.6,0.54
0.85,0.39,0.88
0.62,0.38,0.63
0.54,0.32,0.53
0.24,0.6,0.31
0.74,0.52,0.81
0.38,0.6,0.45
0.22,0.7,0.33
0.14,0.65,0.21
0.63,0.21,0.57
0.65,0.08,0.54
0.65,0.43,0.68
0.38,0.59,0.45
0.51,0.36,0.5
1,0.16,0.96
0.67,0.32,0.64
0.62,0.21,0.55
0.78,0.65,0.9
0.69,0.57,0.77
0.41,0.49,0.45
0.46,0.25,0.41
0.55,0.36,0.55
0.68,0.33,0.68
0.33,0.52,0.38
0.39,0.56,0.44
0.37,0.43,0.36
0.7,0.61,0.8
0.75,0.8,0.92
0.38,0.36,0.34
0.65,0.18,0.56
0.39,0.36,0.36
0.71,0.24,0.68
0.18,0.45,0.18
0.35,0.78,0.5
0.52,0.43,0.53
0.5,0.49,0.55
0.84,0.36,0.86
0.48,0.48,0.53
0.58,0.29,0.53
0.75,0.55,0.81
0.54,0.41,0.55
0.41,0.52,0.44
0.31,0.55,0.37
0.62,0.32,0.6
0.58,0.33,0.56
0.61,0.56,0.69
0.48,0.59,0.55
0.53,0.43,0.54
0.85,0.5,0.93
0.11,0.65,0.18
0.47,0.37,0.44
0.31,0.55,0.37
0.91,0.4,0.94
0.64,0.22,0.57
0.37,0.62,0.46
0.52,0.46,0.53
0.36,0.57,0.42
0.65,0.33,0.64